Agency,ErrorStrike,SemiMajor90,SemiMinor90,cluster_flag,cluster_index,comment,day,depth,depthError,eventID,flag,hour,latitude,longitude,magnitude,magnitudeType,minute,month,second,sigmaMagnitude,timeError,year
EMEC,,,,0,0,,10,999.0,,3917,,1,35.25,33.25,6.2999999999999998,MW,1,12,1.0,0.0,,1718
SBEI,,,,0,0,,15,15.0,,70734,,1,36.299999999999997,36.600000000000001,6.0999999999999996,MW,1,4,1.0,0.0,,1726
EMEC,,,,0,0,,1,999.0,,4014,,1,35.0,34.0,6.2999999999999998,MW,1,12,1.0,0.0,,1735
SBEI,,,,0,0,,25,10.0,,70735,,1,36.700000000000003,36.5,6.2000000000000002,MW,1,9,1.0,0.0,,1738
EMEC,,,,0,0,,5,999.0,,4073,,1,33.0,36.0,5.2000000000000002,MW,1,7,1.0,0.0,,1746
SHARE,,,,0,0,,21,999.0,,72301,,0,35.600000000000001,35.75,6.7999999999999998,MW,0,7,0.0,0.0,,1752
EMEC,,,,0,0,,16,999.0,,4116,,1,33.0,36.0,6.0,MW,1,12,1.0,0.0,,1753
SHARE,,,,0,0,,17,999.0,,72344,,0,35.100000000000001,33.399999999999999,5.0,MW,0,1,0.0,0.0,,1756
AM06,,,,0,7,,25,30.0,,7,,1,33.700000000000003,35.899999999999999,7.2000000000000002,MS,1,11,1.0,0.20000000000000001,,1759
SBEI,,,,0,11,,26,20.0,,70738,,1,35.299999999999997,36.200000000000003,6.7999999999999998,MW,1,4,1.0,0.0,,1796
EMEC,,,,0,0,,1,999.0,,4548,,1,34.0,36.200000000000003,6.0999999999999996,MW,1,1,1.0,0.0,,1802
EMEC,,,,0,0,,1,999.0,,4666,,1,32.799999999999997,35.799999999999997,6.0,MW,1,1,1.0,0.0,,1814
SBEI,,,,0,1,,13,999.0,,70739,,1,36.700000000000003,36.799999999999997,7.4000000000000004,MW,1,8,1.0,0.0,,1822
EMEC,,,,0,0,,23,999.0,,4887,,4,31.300000000000001,35.600000000000001,6.0999999999999996,MW,1,5,1.0,0.0,,1834
AM06,,,,0,0,,1,999.0,,55,,1,33.299999999999997,35.5,6.9000000000000004,MS,1,1,1.0,0.20000000000000001,,1837
SHARE,,,,0,0,,12,999.0,,73394,,0,37.5,30.0,5.4000000000000004,MW,0,7,0.0,0.0,,1842
SHARE,,,,0,0,,21,999.0,,73432,,0,35.149999999999999,33.399999999999999,5.0,MW,0,2,0.0,0.0,,1845
EMEC,,,,0,0,,7,999.0,,5061,,8,29.699999999999999,30.800000000000001,5.9000000000000004,MW,15,8,1.0,0.0,,1847
EMEC,,,,0,0,,20,999.0,,5561,,3,32.0,33.0,5.5999999999999996,MW,15,2,1.0,0.0,,1868
AM06,,,,0,27,,3,10.0,,56,,1,36.200000000000003,36.200000000000003,6.0999999999999996,MS,1,4,1.0,0.17000000000000001,,1872
SHARE,,,,0,0,,21,999.0,,74245,,0,36.200000000000003,36.100000000000001,5.7999999999999998,MW,0,8,0.0,0.0,,1875
SHARE,,,,0,0,,1,999.0,,74272,,0,37.700000000000003,30.199999999999999,5.4000000000000004,MW,0,6,0.0,0.0,,1876
EMEC,,,,0,0,,11,999.0,,5862,,18,29.0,33.0,6.0,MW,1,7,1.0,0.0,,1879
AM93,,,,0,46,,13,999.0,,57,,20,35.600000000000001,34.700000000000003,5.7999999999999998,MS,0,1,0.0,0.17000000000000001,,1894
